event,probability,predicted,user_validated
Oo,0.0004324105684645474,False,False
Mn,0.023243989795446396,False,False
Eg,0.0067924801260232925,False,False
Be,1.9607816284406e-05,False,False
Upcall,3.09484385070391e-05,False,False
Bp,0.005461087450385094,False,False
Call,0.0003659240319393575,False,True
Gunshot,1.8660983187146485e-05,False,False
Echolocation,6.712929462082684e-05,False,False
Bm,0.00015219385386444628,False,False
Whistle,0.00032087016734294593,False,False
Ba,0.0005766422837041318,False,False
